source type,source location name,source latitude (deg),source longitude (deg),destination type,destination location name,destination latitude (deg),destination longitude (deg),product,year,distance (km),shipped amount (tonne),shipped amount-distance (tonne-km),emission type,emission amount (tonne)
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Manufacturing Plant,"Kuykendall Cement Corp., AR",35.0,-92.0,PV Modules Materials,1,863.833,0.0,0.0,CO2,0.0
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Manufacturing Plant,"Kuykendall Cement Corp., AR",35.0,-92.0,PV Modules Materials,2,863.833,0.0,0.0,CO2,0.0
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Manufacturing Plant,"Kuykendall Cement Corp., AR",35.0,-92.0,PV Modules Materials,3,863.833,0.0,0.0,CO2,0.0
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Manufacturing Plant,"Kuykendall Cement Corp., AR",35.0,-92.0,PV Modules Materials,4,863.833,295.007849,254837.515245,CO2,42.557865
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Manufacturing Plant,"Kuykendall Cement Corp., AR",35.0,-92.0,PV Modules Materials,5,863.833,74795.492768,6.4610814904547e7,CO2,10790.006089
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Manufacturing Plant,"Kuykendall Cement Corp., AR",35.0,-92.0,PV Modules Materials,6,863.833,73898.472147,6.3835938889987e7,CO2,10660.601795
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Manufacturing Plant,"Kuykendall Cement Corp., AR",35.0,-92.0,PV Modules Materials,7,863.833,594.167189,513261.225142,CO2,85.714625
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Manufacturing Plant,"Kuykendall Cement Corp., AR",35.0,-92.0,PV Modules Materials,8,863.833,588.903681,508714.43345,CO2,84.95531
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Manufacturing Plant,"Kuykendall Cement Corp., AR",35.0,-92.0,PV Modules Materials,9,863.833,0.0,0.0,CO2,0.0
Origin,"Sac County, Iowa",42.419352,-95.026345,PV Manufacturing Plant,"Kuykendall Cement Corp., AR",35.0,-92.0,PV Modules Materials,10,863.833,0.0,0.0,CO2,0.0
