plant type,location name,year,emission type,emission amount (tonne)
PV Recycling Plant,"Glen Lyn, Virginia",1,CO2,0.0
PV Recycling Plant,"Glen Lyn, Virginia",2,CO2,0.0
PV Recycling Plant,"Glen Lyn, Virginia",3,CO2,0.0
PV Recycling Plant,"Glen Lyn, Virginia",4,CO2,0.0
PV Recycling Plant,"Glen Lyn, Virginia",5,CO2,0.0
PV Recycling Plant,"Glen Lyn, Virginia",6,CO2,0.0
PV Recycling Plant,"Glen Lyn, Virginia",7,CO2,0.0
PV Recycling Plant,"Glen Lyn, Virginia",8,CO2,0.0
PV Recycling Plant,"Glen Lyn, Virginia",9,CO2,0.0
PV Recycling Plant,"Glen Lyn, Virginia",10,CO2,0.0
PV Recycling Plant,"Glen Lyn, Virginia",11,CO2,0.0
PV Recycling Plant,"Glen Lyn, Virginia",12,CO2,0.0
PV Recycling Plant,"Glen Lyn, Virginia",13,CO2,0.0
PV Recycling Plant,"Glen Lyn, Virginia",14,CO2,0.0
PV Recycling Plant,"Glen Lyn, Virginia",15,CO2,0.0
PV Recycling Plant,"Glen Lyn, Virginia",16,CO2,2575.473266
PV Recycling Plant,"Glen Lyn, Virginia",17,CO2,1335.072249
PV Recycling Plant,"Glen Lyn, Virginia",18,CO2,1955.272758
PV Recycling Plant,"Glen Lyn, Virginia",19,CO2,1955.272758
PV Recycling Plant,"Glen Lyn, Virginia",20,CO2,1955.272758
PV Recycling Plant,"Glen Lyn, Virginia",21,CO2,1955.272758
PV Recycling Plant,"Glen Lyn, Virginia",22,CO2,1955.272758
PV Recycling Plant,"Glen Lyn, Virginia",23,CO2,1955.272758
PV Recycling Plant,"Glen Lyn, Virginia",24,CO2,1955.272758
PV Recycling Plant,"Glen Lyn, Virginia",25,CO2,1955.272758
PV Recycling Plant,"Glen Lyn, Virginia",26,CO2,1955.272758
PV Recycling Plant,"H B Robinson, South Carolina",1,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",2,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",3,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",4,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",5,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",6,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",7,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",8,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",9,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",10,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",11,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",12,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",13,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",14,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",15,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",16,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",17,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",18,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",19,CO2,5865.818273
PV Recycling Plant,"H B Robinson, South Carolina",20,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",21,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",22,CO2,5273.101814
PV Recycling Plant,"H B Robinson, South Carolina",23,CO2,0.0
PV Recycling Plant,"H B Robinson, South Carolina",24,CO2,592.716459
PV Recycling Plant,"H B Robinson, South Carolina",25,CO2,1955.272758
PV Recycling Plant,"H B Robinson, South Carolina",26,CO2,1955.272758
PV Recycling Plant,"Helen Of Troy L. P., TX",1,CO2,0.0
PV Recycling Plant,"Helen Of Troy L. P., TX",2,CO2,0.0
PV Recycling Plant,"Helen Of Troy L. P., TX",3,CO2,0.0
PV Recycling Plant,"Helen Of Troy L. P., TX",4,CO2,0.0
PV Recycling Plant,"Helen Of Troy L. P., TX",5,CO2,0.0
PV Recycling Plant,"Helen Of Troy L. P., TX",6,CO2,0.0
PV Recycling Plant,"Helen Of Troy L. P., TX",7,CO2,0.0
PV Recycling Plant,"Helen Of Troy L. P., TX",8,CO2,0.0
PV Recycling Plant,"Helen Of Troy L. P., TX",9,CO2,0.0
PV Recycling Plant,"Helen Of Troy L. P., TX",10,CO2,3753.122483
PV Recycling Plant,"Helen Of Troy L. P., TX",11,CO2,953.670096
PV Recycling Plant,"Helen Of Troy L. P., TX",12,CO2,1159.025694
PV Recycling Plant,"Helen Of Troy L. P., TX",13,CO2,1955.272758
PV Recycling Plant,"Helen Of Troy L. P., TX",14,CO2,1955.272758
PV Recycling Plant,"Helen Of Troy L. P., TX",15,CO2,1955.272758
PV Recycling Plant,"Helen Of Troy L. P., TX",16,CO2,1955.272758
PV Recycling Plant,"Helen Of Troy L. P., TX",17,CO2,1955.272758
PV Recycling Plant,"Helen Of Troy L. P., TX",18,CO2,1955.272758
PV Recycling Plant,"Helen Of Troy L. P., TX",19,CO2,1955.272758
PV Recycling Plant,"Helen Of Troy L. P., TX",20,CO2,3438.865422
PV Recycling Plant,"Helen Of Troy L. P., TX",21,CO2,471.680093
PV Recycling Plant,"Helen Of Troy L. P., TX",22,CO2,1955.272758
PV Recycling Plant,"Helen Of Troy L. P., TX",23,CO2,2760.571086
PV Recycling Plant,"Helen Of Troy L. P., TX",24,CO2,1169.435156
PV Recycling Plant,"Helen Of Troy L. P., TX",25,CO2,2519.965724
PV Recycling Plant,"Helen Of Troy L. P., TX",26,CO2,1371.119064
PV Recycling Plant,"Kuykendall Cement Corp., AR",1,CO2,0.0
PV Recycling Plant,"Kuykendall Cement Corp., AR",2,CO2,0.0
PV Recycling Plant,"Kuykendall Cement Corp., AR",3,CO2,0.0
PV Recycling Plant,"Kuykendall Cement Corp., AR",4,CO2,0.0
PV Recycling Plant,"Kuykendall Cement Corp., AR",5,CO2,0.0
PV Recycling Plant,"Kuykendall Cement Corp., AR",6,CO2,0.0
PV Recycling Plant,"Kuykendall Cement Corp., AR",7,CO2,0.0
PV Recycling Plant,"Kuykendall Cement Corp., AR",8,CO2,0.0
PV Recycling Plant,"Kuykendall Cement Corp., AR",9,CO2,0.0
PV Recycling Plant,"Kuykendall Cement Corp., AR",10,CO2,0.0
PV Recycling Plant,"Kuykendall Cement Corp., AR",11,CO2,0.0
PV Recycling Plant,"Kuykendall Cement Corp., AR",12,CO2,0.0
PV Recycling Plant,"Kuykendall Cement Corp., AR",13,CO2,5097.208391
PV Recycling Plant,"Kuykendall Cement Corp., AR",14,CO2,329.587122
PV Recycling Plant,"Kuykendall Cement Corp., AR",15,CO2,439.022759
PV Recycling Plant,"Kuykendall Cement Corp., AR",16,CO2,1955.272758
PV Recycling Plant,"Kuykendall Cement Corp., AR",17,CO2,1955.272758
PV Recycling Plant,"Kuykendall Cement Corp., AR",18,CO2,1955.272758
PV Recycling Plant,"Kuykendall Cement Corp., AR",19,CO2,5544.275398
PV Recycling Plant,"Kuykendall Cement Corp., AR",20,CO2,855.510624
PV Recycling Plant,"Kuykendall Cement Corp., AR",21,CO2,22.604567
PV Recycling Plant,"Kuykendall Cement Corp., AR",22,CO2,2683.13476
PV Recycling Plant,"Kuykendall Cement Corp., AR",23,CO2,670.83844
PV Recycling Plant,"Kuykendall Cement Corp., AR",24,CO2,1955.272758
PV Recycling Plant,"Kuykendall Cement Corp., AR",25,CO2,1955.272758
PV Recycling Plant,"Kuykendall Cement Corp., AR",26,CO2,1955.272758
PV Recycling Plant,"San Juan, New Mexico",1,CO2,0.0
PV Recycling Plant,"San Juan, New Mexico",2,CO2,0.0
PV Recycling Plant,"San Juan, New Mexico",3,CO2,0.0
PV Recycling Plant,"San Juan, New Mexico",4,CO2,0.0
PV Recycling Plant,"San Juan, New Mexico",5,CO2,0.0
PV Recycling Plant,"San Juan, New Mexico",6,CO2,0.0
PV Recycling Plant,"San Juan, New Mexico",7,CO2,0.0
PV Recycling Plant,"San Juan, New Mexico",8,CO2,0.0
PV Recycling Plant,"San Juan, New Mexico",9,CO2,0.0
PV Recycling Plant,"San Juan, New Mexico",10,CO2,1994.47872
PV Recycling Plant,"San Juan, New Mexico",11,CO2,3275.272065
PV Recycling Plant,"San Juan, New Mexico",12,CO2,596.067488
PV Recycling Plant,"San Juan, New Mexico",13,CO2,3469.418345
PV Recycling Plant,"San Juan, New Mexico",14,CO2,986.294267
PV Recycling Plant,"San Juan, New Mexico",15,CO2,1410.10566
PV Recycling Plant,"San Juan, New Mexico",16,CO2,5865.818273
PV Recycling Plant,"San Juan, New Mexico",17,CO2,0.0
PV Recycling Plant,"San Juan, New Mexico",18,CO2,0.0
PV Recycling Plant,"San Juan, New Mexico",19,CO2,1955.272758
PV Recycling Plant,"San Juan, New Mexico",20,CO2,1955.272758
PV Recycling Plant,"San Juan, New Mexico",21,CO2,1955.272758
PV Recycling Plant,"San Juan, New Mexico",22,CO2,5865.818273
PV Recycling Plant,"San Juan, New Mexico",23,CO2,0.0
PV Recycling Plant,"San Juan, New Mexico",24,CO2,0.0
PV Recycling Plant,"San Juan, New Mexico",25,CO2,2346.402644
PV Recycling Plant,"San Juan, New Mexico",26,CO2,1564.142871
PV Recycling Plant,"St Johns River Power Park, Florida",1,CO2,0.0
PV Recycling Plant,"St Johns River Power Park, Florida",2,CO2,0.0
PV Recycling Plant,"St Johns River Power Park, Florida",3,CO2,0.0
