source type,source location name,source latitude (deg),source longitude (deg),destination type,destination location name,destination latitude (deg),destination longitude (deg),product,year,distance (km),shipped amount (tonne),shipped amount-distance (tonne-km),emission type,emission amount (tonne)
Origin,"Burke County, North Carolina",35.703545,-81.469485,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,1,192.008,0.0,0.0,CO2,0.0
Origin,"Burke County, North Carolina",35.703545,-81.469485,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,2,192.008,0.0,0.0,CO2,0.0
Origin,"Burke County, North Carolina",35.703545,-81.469485,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,3,192.008,0.0,0.0,CO2,0.0
Origin,"Burke County, North Carolina",35.703545,-81.469485,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,4,192.008,0.0,0.0,CO2,0.0
Origin,"Burke County, North Carolina",35.703545,-81.469485,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,5,192.008,0.0,0.0,CO2,0.0
Origin,"Burke County, North Carolina",35.703545,-81.469485,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,6,192.008,0.0,0.0,CO2,0.0
Origin,"Burke County, North Carolina",35.703545,-81.469485,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,7,192.008,0.0,0.0,CO2,0.0
Origin,"Burke County, North Carolina",35.703545,-81.469485,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,8,192.008,0.0,0.0,CO2,0.0
Origin,"Burke County, North Carolina",35.703545,-81.469485,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,9,192.008,0.0,0.0,CO2,0.0
Origin,"Burke County, North Carolina",35.703545,-81.469485,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,10,192.008,0.0,0.0,CO2,0.0
Origin,"Burke County, North Carolina",35.703545,-81.469485,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,11,192.008,0.0,0.0,CO2,0.0
Origin,"Burke County, North Carolina",35.703545,-81.469485,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,12,192.008,0.0,0.0,CO2,0.0
Origin,"Burke County, North Carolina",35.703545,-81.469485,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,13,192.008,0.0,0.0,CO2,0.0
Origin,"Burke County, North Carolina",35.703545,-81.469485,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,14,192.008,0.0,0.0,CO2,0.0
Origin,"Burke County, North Carolina",35.703545,-81.469485,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,15,192.008,0.0,0.0,CO2,0.0
Origin,"Burke County, North Carolina",35.703545,-81.469485,PV Recycling Plant,"Glen Lyn, Virginia",37.318072,-80.698321,PV Module,16,192.008,0.0,0.0,CO2,0.0
