plant type,location name,year,product name,amount produced (tonne),amount sent (tonne),amount disposed (tonne),disposal cost ($)
PV Recycling Plant,"Croell Redi Mix, LLC, NE",1,Other waste,0.080465,0.0,0.080465,0.0
PV Recycling Plant,"Croell Redi Mix, LLC, NE",2,Other waste,0.017229,0.0,0.017229,0.0
PV Recycling Plant,"Croell Redi Mix, LLC, NE",3,Other waste,0.02924,0.0,0.02924,0.0
PV Recycling Plant,"Croell Redi Mix, LLC, NE",4,Other waste,0.047752,0.0,0.047752,0.0
PV Recycling Plant,"Croell Redi Mix, LLC, NE",5,Other waste,0.0,0.0,0.0,0.0
PV Recycling Plant,"Croell Redi Mix, LLC, NE",6,Other waste,0.0,0.0,0.0,0.0
PV Recycling Plant,"Croell Redi Mix, LLC, NE",7,Other waste,0.362954,0.0,0.362954,0.0
PV Recycling Plant,"Croell Redi Mix, LLC, NE",8,Other waste,0.250142,0.0,0.250142,0.0
PV Recycling Plant,"Croell Redi Mix, LLC, NE",9,Other waste,0.355159,0.0,0.355159,0.0
PV Recycling Plant,"Croell Redi Mix, LLC, NE",10,Other waste,0.0,0.0,0.0,0.0
PV Recycling Plant,"Croell Redi Mix, LLC, NE",11,Other waste,0.0,0.0,0.0,0.0
PV Recycling Plant,"Croell Redi Mix, LLC, NE",12,Other waste,0.0,0.0,0.0,0.0
PV Recycling Plant,"Croell Redi Mix, LLC, NE",13,Other waste,0.0,0.0,0.0,0.0
PV Recycling Plant,"Croell Redi Mix, LLC, NE",14,Other waste,0.0,0.0,0.0,0.0
PV Recycling Plant,"Croell Redi Mix, LLC, NE",15,Other waste,0.0,0.0,0.0,0.0
PV Recycling Plant,"Croell Redi Mix, LLC, NE",16,Other waste,0.0,0.0,0.0,0.0
PV Recycling Plant,"Croell Redi Mix, LLC, NE",17,Other waste,0.0,0.0,0.0,0.0
PV Recycling Plant,"Croell Redi Mix, LLC, NE",18,Other waste,0.0,0.0,0.0,0.0
PV Recycling Plant,"Croell Redi Mix, LLC, NE",19,Other waste,0.0,0.0,0.0,0.0
PV Recycling Plant,"Croell Redi Mix, LLC, NE",20,Other waste,0.0,0.0,0.0,0.0
PV Recycling Plant,"Croell Redi Mix, LLC, NE",21,Other waste,0.0,0.0,0.0,0.0
PV Recycling Plant,"Croell Redi Mix, LLC, NE",22,Other waste,0.0,0.0,0.0,0.0
PV Recycling Plant,"Croell Redi Mix, LLC, NE",23,Other waste,31.818309,0.0,31.818309,0.0
PV Recycling Plant,"Croell Redi Mix, LLC, NE",24,Other waste,0.714479,0.0,0.714479,0.0
PV Recycling Plant,"Croell Redi Mix, LLC, NE",25,Other waste,1.786895,0.0,1.786895,0.0
PV Recycling Plant,"Croell Redi Mix, LLC, NE",26,Other waste,0.432601,0.0,0.432601,0.0
PV Recycling Plant,"Croell Redi Mix, LLC, NE",1,Encapsulant (cSi),0.152881,0.0,0.152881,0.0
PV Recycling Plant,"Croell Redi Mix, LLC, NE",2,Encapsulant (cSi),0.032735,0.0,0.032735,0.0
PV Recycling Plant,"Croell Redi Mix, LLC, NE",3,Encapsulant (cSi),0.055556,0.0,0.055556,0.0
PV Recycling Plant,"Croell Redi Mix, LLC, NE",4,Encapsulant (cSi),0.090728,0.0,0.090728,0.0
PV Recycling Plant,"Croell Redi Mix, LLC, NE",5,Encapsulant (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Croell Redi Mix, LLC, NE",6,Encapsulant (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Croell Redi Mix, LLC, NE",7,Encapsulant (cSi),0.689604,0.0,0.689604,0.0
PV Recycling Plant,"Croell Redi Mix, LLC, NE",8,Encapsulant (cSi),0.475263,0.0,0.475263,0.0
PV Recycling Plant,"Croell Redi Mix, LLC, NE",9,Encapsulant (cSi),0.674794,0.0,0.674794,0.0
PV Recycling Plant,"Croell Redi Mix, LLC, NE",10,Encapsulant (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Croell Redi Mix, LLC, NE",11,Encapsulant (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Croell Redi Mix, LLC, NE",12,Encapsulant (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Croell Redi Mix, LLC, NE",13,Encapsulant (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Croell Redi Mix, LLC, NE",14,Encapsulant (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Croell Redi Mix, LLC, NE",15,Encapsulant (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Croell Redi Mix, LLC, NE",16,Encapsulant (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Croell Redi Mix, LLC, NE",17,Encapsulant (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Croell Redi Mix, LLC, NE",18,Encapsulant (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Croell Redi Mix, LLC, NE",19,Encapsulant (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Croell Redi Mix, LLC, NE",20,Encapsulant (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Croell Redi Mix, LLC, NE",21,Encapsulant (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Croell Redi Mix, LLC, NE",22,Encapsulant (cSi),0.0,0.0,0.0,0.0
PV Recycling Plant,"Croell Redi Mix, LLC, NE",23,Encapsulant (cSi),60.453986,0.0,60.453986,0.0
PV Recycling Plant,"Croell Redi Mix, LLC, NE",24,Encapsulant (cSi),1.357492,0.0,1.357492,0.0
PV Recycling Plant,"Croell Redi Mix, LLC, NE",25,Encapsulant (cSi),3.395056,0.0,3.395056,0.0
PV Recycling Plant,"Croell Redi Mix, LLC, NE",26,Encapsulant (cSi),0.821932,0.0,0.821932,0.0
PV Recycling Plant,"Croell Redi Mix, LLC, NE",1,Contaminated glass,0.07544,0.0,0.07544,14.060059
