plant type,location name,year,product name,amount produced (tonne),amount sent (tonne),amount disposed (tonne),disposal cost ($)
PV Recycling Plant,"Glen Lyn, Virginia",1,Copper (CdTe),0.012132,0.0,0.012132,0.0
PV Recycling Plant,"Glen Lyn, Virginia",2,Copper (CdTe),0.000243,0.0,0.000243,0.0
PV Recycling Plant,"Glen Lyn, Virginia",3,Copper (CdTe),0.000418,0.0,0.000418,0.0
PV Recycling Plant,"Glen Lyn, Virginia",4,Copper (CdTe),0.000692,0.0,0.000692,0.0
PV Recycling Plant,"Glen Lyn, Virginia",5,Copper (CdTe),0.001106,0.0,0.001106,0.0
PV Recycling Plant,"Glen Lyn, Virginia",6,Copper (CdTe),0.001715,0.0,0.001715,0.0
PV Recycling Plant,"Glen Lyn, Virginia",7,Copper (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",8,Copper (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",9,Copper (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",10,Copper (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",11,Copper (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",12,Copper (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",13,Copper (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",14,Copper (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",15,Copper (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",16,Copper (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",17,Copper (CdTe),0.316065,0.0,0.316065,0.0
PV Recycling Plant,"Glen Lyn, Virginia",18,Copper (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",19,Copper (CdTe),4.232985,0.0,4.232985,0.0
PV Recycling Plant,"Glen Lyn, Virginia",20,Copper (CdTe),7.996861,0.0,7.996861,0.0
PV Recycling Plant,"Glen Lyn, Virginia",21,Copper (CdTe),7.996861,0.0,7.996861,0.0
PV Recycling Plant,"Glen Lyn, Virginia",22,Copper (CdTe),7.996861,0.0,7.996861,0.0
PV Recycling Plant,"Glen Lyn, Virginia",23,Copper (CdTe),7.996861,0.0,7.996861,0.0
PV Recycling Plant,"Glen Lyn, Virginia",24,Copper (CdTe),7.996861,0.0,7.996861,0.0
PV Recycling Plant,"Glen Lyn, Virginia",25,Copper (CdTe),7.996861,0.0,7.996861,0.0
PV Recycling Plant,"Glen Lyn, Virginia",26,Copper (CdTe),7.996861,0.0,7.996861,0.0
PV Recycling Plant,"Glen Lyn, Virginia",1,Glass (CdTe),3.133931,0.0,3.133931,0.0
PV Recycling Plant,"Glen Lyn, Virginia",2,Glass (CdTe),0.062863,0.0,0.062863,0.0
PV Recycling Plant,"Glen Lyn, Virginia",3,Glass (CdTe),0.108086,0.0,0.108086,0.0
PV Recycling Plant,"Glen Lyn, Virginia",4,Glass (CdTe),0.17879,0.0,0.17879,0.0
PV Recycling Plant,"Glen Lyn, Virginia",5,Glass (CdTe),0.285801,0.0,0.285801,0.0
PV Recycling Plant,"Glen Lyn, Virginia",6,Glass (CdTe),0.443117,0.0,0.443117,0.0
PV Recycling Plant,"Glen Lyn, Virginia",7,Glass (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",8,Glass (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",9,Glass (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",10,Glass (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",11,Glass (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",12,Glass (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",13,Glass (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",14,Glass (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",15,Glass (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",16,Glass (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",17,Glass (CdTe),81.647537,0.0,81.647537,0.0
PV Recycling Plant,"Glen Lyn, Virginia",18,Glass (CdTe),0.0,0.0,0.0,0.0
PV Recycling Plant,"Glen Lyn, Virginia",19,Glass (CdTe),1093.486539,0.0,1093.486539,0.0
PV Recycling Plant,"Glen Lyn, Virginia",20,Glass (CdTe),2065.790302,0.0,2065.790302,0.0
PV Recycling Plant,"Glen Lyn, Virginia",21,Glass (CdTe),2065.790302,0.0,2065.790302,0.0
PV Recycling Plant,"Glen Lyn, Virginia",22,Glass (CdTe),2065.790302,0.0,2065.790302,0.0
PV Recycling Plant,"Glen Lyn, Virginia",23,Glass (CdTe),2065.790302,0.0,2065.790302,0.0
PV Recycling Plant,"Glen Lyn, Virginia",24,Glass (CdTe),2065.790302,0.0,2065.790302,0.0
PV Recycling Plant,"Glen Lyn, Virginia",25,Glass (CdTe),2065.790302,0.0,2065.790302,0.0
PV Recycling Plant,"Glen Lyn, Virginia",26,Glass (CdTe),2065.790302,0.0,2065.790302,0.0
PV Recycling Plant,"Glen Lyn, Virginia",1,Cadmium (CdTe),0.001292,0.0,0.001292,0.0
