source type,source location name,source latitude (deg),source longitude (deg),destination type,destination location name,destination latitude (deg),destination longitude (deg),product,year,distance (km),shipped amount (tonne),shipped amount-distance (tonne-km),emission type,emission amount (tonne)
Origin,"Sumter County, Florida",28.708695,-82.192477,PV Manufacturing Plant,"Newpark Drilling Fluids, LLC, LA",29.0,-89.0,PV Modules Materials,1,664.637,0.0,0.0,CO2,0.0
Origin,"Sumter County, Florida",28.708695,-82.192477,PV Manufacturing Plant,"Newpark Drilling Fluids, LLC, LA",29.0,-89.0,PV Modules Materials,2,664.637,0.0,0.0,CO2,0.0
Origin,"Sumter County, Florida",28.708695,-82.192477,PV Manufacturing Plant,"Newpark Drilling Fluids, LLC, LA",29.0,-89.0,PV Modules Materials,3,664.637,0.0,0.0,CO2,0.0
Origin,"Sumter County, Florida",28.708695,-82.192477,PV Manufacturing Plant,"Newpark Drilling Fluids, LLC, LA",29.0,-89.0,PV Modules Materials,4,664.637,0.0,0.0,CO2,0.0
Origin,"Sumter County, Florida",28.708695,-82.192477,PV Manufacturing Plant,"Newpark Drilling Fluids, LLC, LA",29.0,-89.0,PV Modules Materials,5,664.637,0.0,0.0,CO2,0.0
Origin,"Sumter County, Florida",28.708695,-82.192477,PV Manufacturing Plant,"Newpark Drilling Fluids, LLC, LA",29.0,-89.0,PV Modules Materials,6,664.637,0.0,0.0,CO2,0.0
Origin,"Sumter County, Florida",28.708695,-82.192477,PV Manufacturing Plant,"Newpark Drilling Fluids, LLC, LA",29.0,-89.0,PV Modules Materials,7,664.637,0.0,0.0,CO2,0.0
Origin,"Sumter County, Florida",28.708695,-82.192477,PV Manufacturing Plant,"Newpark Drilling Fluids, LLC, LA",29.0,-89.0,PV Modules Materials,8,664.637,0.0,0.0,CO2,0.0
Origin,"Sumter County, Florida",28.708695,-82.192477,PV Manufacturing Plant,"Newpark Drilling Fluids, LLC, LA",29.0,-89.0,PV Modules Materials,9,664.637,0.0,0.0,CO2,0.0
Origin,"Sumter County, Florida",28.708695,-82.192477,PV Manufacturing Plant,"Newpark Drilling Fluids, LLC, LA",29.0,-89.0,PV Modules Materials,10,664.637,0.0,0.0,CO2,0.0
Origin,"Sumter County, Florida",28.708695,-82.192477,PV Manufacturing Plant,"Newpark Drilling Fluids, LLC, LA",29.0,-89.0,PV Modules Materials,11,664.637,0.0,0.0,CO2,0.0
Origin,"Sumter County, Florida",28.708695,-82.192477,PV Manufacturing Plant,"Newpark Drilling Fluids, LLC, LA",29.0,-89.0,PV Modules Materials,12,664.637,193267.785213,1.28452920960863e8,CO2,21451.6378
Origin,"Sumter County, Florida",28.708695,-82.192477,PV Manufacturing Plant,"Newpark Drilling Fluids, LLC, LA",29.0,-89.0,PV Modules Materials,13,664.637,211263.365589,1.40413449515113e8,CO2,23449.046069
Origin,"Sumter County, Florida",28.708695,-82.192477,PV Manufacturing Plant,"Newpark Drilling Fluids, LLC, LA",29.0,-89.0,PV Modules Materials,14,664.637,296485.82167,1.97055447057235e8,CO2,32908.259659
Origin,"Sumter County, Florida",28.708695,-82.192477,PV Manufacturing Plant,"Newpark Drilling Fluids, LLC, LA",29.0,-89.0,PV Modules Materials,15,664.637,13319.177547,8.852418207309e6,CO2,1478.353841
Origin,"Sumter County, Florida",28.708695,-82.192477,PV Manufacturing Plant,"Newpark Drilling Fluids, LLC, LA",29.0,-89.0,PV Modules Materials,16,664.637,13277.004542,8.824388467767e6,CO2,1473.672874
Origin,"Sumter County, Florida",28.708695,-82.192477,PV Manufacturing Plant,"Newpark Drilling Fluids, LLC, LA",29.0,-89.0,PV Modules Materials,17,664.637,0.0,0.0,CO2,0.0
Origin,"Sumter County, Florida",28.708695,-82.192477,PV Manufacturing Plant,"Newpark Drilling Fluids, LLC, LA",29.0,-89.0,PV Modules Materials,18,664.637,70.474839,46840.185241,CO2,7.822311
Origin,"Sumter County, Florida",28.708695,-82.192477,PV Manufacturing Plant,"Newpark Drilling Fluids, LLC, LA",29.0,-89.0,PV Modules Materials,19,664.637,138087.91964,9.1778340645851e7,CO2,15326.982888
Origin,"Sumter County, Florida",28.708695,-82.192477,PV Manufacturing Plant,"Newpark Drilling Fluids, LLC, LA",29.0,-89.0,PV Modules Materials,20,664.637,203836.72033,1.35477426289638e8,CO2,22624.73019
Origin,"Sumter County, Florida",28.708695,-82.192477,PV Manufacturing Plant,"Newpark Drilling Fluids, LLC, LA",29.0,-89.0,PV Modules Materials,21,664.637,268112.16531,1.7819726521541e8,CO2,29758.943291
Origin,"Sumter County, Florida",28.708695,-82.192477,PV Manufacturing Plant,"Newpark Drilling Fluids, LLC, LA",29.0,-89.0,PV Modules Materials,22,664.637,87740.750971,5.8315749503272e7,CO2,9738.730167
Origin,"Sumter County, Florida",28.708695,-82.192477,PV Manufacturing Plant,"Newpark Drilling Fluids, LLC, LA",29.0,-89.0,PV Modules Materials,23,664.637,0.0,0.0,CO2,0.0
Origin,"Sumter County, Florida",28.708695,-82.192477,PV Manufacturing Plant,"Newpark Drilling Fluids, LLC, LA",29.0,-89.0,PV Modules Materials,24,664.637,0.0,0.0,CO2,0.0
Origin,"Sumter County, Florida",28.708695,-82.192477,PV Manufacturing Plant,"Newpark Drilling Fluids, LLC, LA",29.0,-89.0,PV Modules Materials,25,664.637,43616.716797,2.8989283801621e7,CO2,4841.210395
Origin,"Sumter County, Florida",28.708695,-82.192477,PV Manufacturing Plant,"Newpark Drilling Fluids, LLC, LA",29.0,-89.0,PV Modules Materials,26,664.637,43523.853811,2.8927563625069e7,CO2,4830.903125
Origin,"Palm Beach County, Florida",26.677092,-80.563731,PV Manufacturing Plant,"Newpark Drilling Fluids, LLC, LA",29.0,-89.0,PV Modules Materials,1,869.066,0.0,0.0,CO2,0.0
Origin,"Palm Beach County, Florida",26.677092,-80.563731,PV Manufacturing Plant,"Newpark Drilling Fluids, LLC, LA",29.0,-89.0,PV Modules Materials,2,869.066,0.0,0.0,CO2,0.0
Origin,"Palm Beach County, Florida",26.677092,-80.563731,PV Manufacturing Plant,"Newpark Drilling Fluids, LLC, LA",29.0,-89.0,PV Modules Materials,3,869.066,0.0,0.0,CO2,0.0
Origin,"Palm Beach County, Florida",26.677092,-80.563731,PV Manufacturing Plant,"Newpark Drilling Fluids, LLC, LA",29.0,-89.0,PV Modules Materials,4,869.066,0.0,0.0,CO2,0.0
Origin,"Palm Beach County, Florida",26.677092,-80.563731,PV Manufacturing Plant,"Newpark Drilling Fluids, LLC, LA",29.0,-89.0,PV Modules Materials,5,869.066,0.0,0.0,CO2,0.0
Origin,"Palm Beach County, Florida",26.677092,-80.563731,PV Manufacturing Plant,"Newpark Drilling Fluids, LLC, LA",29.0,-89.0,PV Modules Materials,6,869.066,0.0,0.0,CO2,0.0
Origin,"Palm Beach County, Florida",26.677092,-80.563731,PV Manufacturing Plant,"Newpark Drilling Fluids, LLC, LA",29.0,-89.0,PV Modules Materials,7,869.066,0.0,0.0,CO2,0.0
Origin,"Palm Beach County, Florida",26.677092,-80.563731,PV Manufacturing Plant,"Newpark Drilling Fluids, LLC, LA",29.0,-89.0,PV Modules Materials,8,869.066,0.0,0.0,CO2,0.0
Origin,"Palm Beach County, Florida",26.677092,-80.563731,PV Manufacturing Plant,"Newpark Drilling Fluids, LLC, LA",29.0,-89.0,PV Modules Materials,9,869.066,0.0,0.0,CO2,0.0
Origin,"Palm Beach County, Florida",26.677092,-80.563731,PV Manufacturing Plant,"Newpark Drilling Fluids, LLC, LA",29.0,-89.0,PV Modules Materials,10,869.066,0.0,0.0,CO2,0.0
Origin,"Palm Beach County, Florida",26.677092,-80.563731,PV Manufacturing Plant,"Newpark Drilling Fluids, LLC, LA",29.0,-89.0,PV Modules Materials,11,869.066,0.0,0.0,CO2,0.0
Origin,"Palm Beach County, Florida",26.677092,-80.563731,PV Manufacturing Plant,"Newpark Drilling Fluids, LLC, LA",29.0,-89.0,PV Modules Materials,12,869.066,0.0,0.0,CO2,0.0
Origin,"Palm Beach County, Florida",26.677092,-80.563731,PV Manufacturing Plant,"Newpark Drilling Fluids, LLC, LA",29.0,-89.0,PV Modules Materials,13,869.066,0.0,0.0,CO2,0.0
Origin,"Palm Beach County, Florida",26.677092,-80.563731,PV Manufacturing Plant,"Newpark Drilling Fluids, LLC, LA",29.0,-89.0,PV Modules Materials,14,869.066,0.0,0.0,CO2,0.0
Origin,"Palm Beach County, Florida",26.677092,-80.563731,PV Manufacturing Plant,"Newpark Drilling Fluids, LLC, LA",29.0,-89.0,PV Modules Materials,15,869.066,0.0,0.0,CO2,0.0
Origin,"Palm Beach County, Florida",26.677092,-80.563731,PV Manufacturing Plant,"Newpark Drilling Fluids, LLC, LA",29.0,-89.0,PV Modules Materials,16,869.066,0.0,0.0,CO2,0.0
