name,latitude (deg),longitude (deg),area cost factor
"Clayton, Georgia",33.585419,-84.377769,1
"Union, New Mexico",36.392799,-103.049035,1.226190476
"Baltimore, Maryland",39.364614,-76.615753,1.178571428
"Sussex, Delaware",38.682065,-75.395755,1.261904762
"Smith, Texas",32.279788,-95.306022,1.023809525
"King, Washington",47.47536,-122.269934,1.261904762
"Los Angeles, California",34.0617215,-118.3080295,1.452380951
"Morgan, Indiana",39.610418,-86.372284,1.130952381
"El Paso, Colorado",38.846899,-104.757383,1.285714287
"Clark, Nevada",36.289052,-115.079896,1.404761904
