year,new_Installed_Capacity_[MW],mod_eff,mod_reliability_t50,mod_reliability_t90,mod_degradation,mod_lifetime,mod_MFG_eff,mod_Repair,mod_MerchantTail,mod_EOL_collection_eff,mod_EOL_pg0_resell,mod_EOL_pg1_landfill,mod_EOL_pg2_stored,mod_EOL_pg3_reMFG,mod_EOL_pg4_recycled,mod_EOL_reMFG_yield,mod_EOL_sp_reMFG_recycle,mod_EOL_pb1_landfill,mod_EOL_pb2_stored,mod_EOL_pb3_reMFG,mod_EOL_pb4_recycled
year,MW,%,years,years,%,years,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%
2010,1.3525400000000007,12.5,25.0,30.0,0.3,25.0,98.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2011,1.872929988,12.8,25.0,30.0,0.3,25.0,98.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2012,2.1850849860000006,15.3,25.0,30.0,0.3,25.0,98.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2013,6.213750050000002,16.1,28.0,33.0,0.3,25.0,98.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2014,21.748125175000006,17.5,28.0,33.0,0.3,25.0,98.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2015,14.754950014000002,18.6,28.0,33.0,0.3,25.0,98.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2016,23.186350022,18.7,28.0,33.0,0.3,25.0,98.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2017,17.02032004,18.8,28.0,33.0,0.3,25.0,98.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2018,19.147860044999998,18.9,28.0,33.0,0.3,35.0,98.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2019,22.814879939999997,19.0,28.0,33.0,0.3,35.0,98.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2020,28.518599925,19.06666667,33.0,38.0,0.3,35.0,98.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2021,8.265840048,19.13333333,33.0,38.0,0.3,35.0,98.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2022,8.265840048,19.2,33.0,38.0,0.3,35.0,98.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2023,9.45736,19.3,33.0,38.0,0.3,35.0,98.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2024,9.45736,21.65,33.0,38.0,0.3,35.0,98.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2025,15.657680016,24.0,33.0,38.0,0.3,35.0,98.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2026,15.657680016,24.2,33.0,38.0,0.3,35.0,98.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2027,30.275360016000008,24.4,40.0,44.0,0.3,35.0,98.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2028,30.275360016000008,24.6,40.0,44.0,0.3,35.0,98.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2029,549.8466537600001,24.8,40.0,44.0,0.3,35.0,98.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2030,549.8466537600001,25.0,40.0,44.0,0.3,35.0,98.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2031,57.867973808,25.2,40.0,44.0,0.3,35.0,98.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2032,57.867973808,25.4,40.0,44.0,0.3,35.0,98.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2033,29.983243232000003,25.6,40.0,44.0,0.3,35.0,98.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2034,29.983243232000003,25.8,40.0,44.0,0.3,35.0,98.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2035,1388.614422752,26.0,40.0,44.0,0.3,35.0,98.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2036,1388.614422752,26.03333333,40.0,44.0,0.3,35.0,98.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2037,703.17384592,26.06666667,40.0,44.0,0.3,35.0,98.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2038,703.17384592,26.1,40.0,44.0,0.3,35.0,98.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2039,53.269673088000005,26.13333333,40.0,44.0,0.3,35.0,98.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2040,53.269673088000005,26.16666667,40.0,44.0,0.3,35.0,98.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2041,157.044048912,26.2,40.0,44.0,0.3,35.0,98.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2042,157.044048912,26.23333333,40.0,44.0,0.3,35.0,98.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2043,57.615157104000005,26.26666667,40.0,44.0,0.3,35.0,98.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2044,57.615157104000005,26.3,40.0,44.0,0.3,35.0,98.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2045,787.0191894080002,26.33333333,40.0,44.0,0.3,35.0,98.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2046,787.0191894080002,26.36666667,40.0,44.0,0.3,35.0,98.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2047,70.475088016,26.4,40.0,44.0,0.3,35.0,98.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2048,70.475088016,26.43333333,40.0,44.0,0.3,35.0,98.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2049,58.63431995200001,26.46666667,40.0,44.0,0.3,35.0,98.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2050,58.63431995200001,26.5,40.0,44.0,0.3,35.0,98.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
