p code,long,lat,cSi waste [tonne],CdTe waste [tonne],Total PV waste [tonne]
p1,-121.4522522,47.82099062,12755.58,2475.66,15231.24
p10,-117.1590386,35.12010447,951108.60,204792.36,1155900.96
p100,-78.25771359,38.79110825,1309.04,196.03,1505.07
p101,-82.19247661,28.70869529,164736.94,29618.46,194355.41
p102,-80.56373053,26.67709172,92219.83,19903.97,112123.80
p103,-84.55437763,43.57419001,34752.35,7752.49,42504.83
p104,-85.90993949,42.06225929,1049.00,188.35,1237.35
p105,-86.25965362,40.72939342,9274.56,1550.28,10824.83
p106,-86.10103966,39.94240296,41975.62,11254.46,53230.09
p107,-86.34789005,38.87073858,7360.34,1142.81,8503.16
p108,-87.22032662,37.49153121,551.06,92.56,643.62
p109,-84.51931615,37.83050346,4443.19,933.18,5376.38
p11,-116.7176058,33.03174695,66300.38,14037.26,80337.64
p110,-82.8503912,37.37099172,125.51,16.26,141.77
p111,-81.83937601,41.28166353,5828.03,922.71,6750.74
p112,-82.81856565,40.17734323,9180.46,2335.14,11515.60
p113,-83.9413805,39.78941957,1823.39,368.13,2191.52
p114,-84.23150769,39.20877458,12039.32,2731.17,14770.49
p115,-79.86635294,40.37731547,7259.18,1407.21,8666.40
p116,-80.19443111,38.8763551,3420.45,827.51,4247.96
p117,-81.7519919,38.05258266,466.60,116.10,582.70
p118,-80.92007066,37.06277512,1354.78,269.54,1624.32
p119,-78.01141702,41.3405889,1083.73,230.10,1313.83
p12,-116.7842291,39.59882101,31377.09,5825.30,37202.39
p120,-77.895377,39.90665131,711.66,167.70,879.37
p121,-79.01946377,39.55126096,13628.68,2622.14,16250.83
p122,-77.39607808,40.92107394,29394.23,4970.06,34364.29
p123,-76.76367486,39.07725918,328860.70,66661.24,395521.94
p124,-75.60492375,37.81184868,7537.82,972.87,8510.69
p125,-75.53282965,39.04284209,9328.00,1461.53,10789.53
p126,-74.6629847,40.24746962,204665.83,33938.34,238604.17
p127,-75.57684419,43.01255158,102748.60,17863.27,120611.87
p128,-73.25855327,40.80291312,33078.70,5480.65,38559.35
p129,-72.66603564,44.03042544,16736.07,2972.50,19708.56
p13,-115.0174041,36.23284216,157269.46,28410.26,185679.71
p130,-71.56225601,43.71401219,5913.43,930.53,6843.96
p131,-71.90533052,42.31304362,198532.00,37461.15,235993.15
p132,-72.75108047,41.60246114,69339.27,13115.18,82454.45
p133,-71.59672773,41.66667273,11116.23,1863.96,12980.18
p134,-69.24794622,45.39211237,5479.25,1728.20,7207.45
p14,-116.6294762,47.64818073,522.86,103.40,626.27
p15,-115.2177288,44.43004937,16988.27,2278.48,19266.75
p16,-112.4327899,43.02868119,6936.91,1197.75,8134.65
p17,-113.6065082,46.82138594,278.26,47.74,326.00
p18,-110.2231123,47.2494843,1271.82,161.93,1433.76
p19,-106.8433126,47.83744486,7.01,1.17,8.18
p2,-121.4945952,46.60869095,1276.32,220.18,1496.50
p20,-108.0131914,46.4465773,358.18,49.61,407.79
p21,-109.277895,43.04388094,6749.70,796.69,7546.39
p22,-106.7112461,44.32489043,18.08,3.21,21.29
p23,-105.0387513,44.24892369,176.10,38.34,214.44
p24,-105.8451005,42.22317644,140.99,25.99,166.99
p25,-111.9317099,39.1005072,100538.27,14986.97,115525.24
p26,-110.3182862,40.52141335,3149.84,598.40,3748.25
p27,-113.7436192,35.72391313,52269.34,11588.46,63857.81
p28,-111.6056914,34.1838784,195457.05,34991.37,230448.42
p29,-109.516242,35.34591005,1221.49,314.69,1536.18
p3,-118.472439,47.92035993,4057.55,678.34,4735.89
p30,-111.6857101,32.04276153,29905.58,6157.93,36063.51
p31,-106.5737299,34.6249543,35940.02,7018.87,42958.89
p32,-103.324472,44.05773319,608.44,136.40,744.84
p33,-105.8666298,40.03368077,47446.77,7835.01,55281.78
p34,-105.2752917,38.1055194,40185.24,6443.69,46628.93
p35,-105.0375055,47.1804594,66.20,10.83,77.02
p36,-102.0734343,47.15958973,1479.39,361.52,1840.91
p37,-99.03324693,47.70645859,1786.29,433.73,2220.02
p38,-99.79847762,44.48283152,2645.76,650.35,3296.11
p39,-102.6958257,41.74325238,305.10,76.80,381.90
p4,-119.5470861,47.4129124,5007.31,1122.79,6130.10
p40,-99.18350983,41.52161835,2328.06,460.62,2788.68
