,name,latitude (deg),longitude (deg),amount 1,amount 2,amount 3,amount 4,amount 5,amount 6,amount 7,amount 8,amount 9,amount 10,amount 11,amount 12,amount 13,amount 14,amount 15,amount 16,amount 17,amount 18,amount 19,amount 20,amount 21,amount 22,amount 23,amount 24,amount 25,amount 26,amount 27,amount 28
0,Snohomish County,47.82099062,-121.4522522,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,state,35.12010447,-117.1590386,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Warren County,38.79110825,-78.25771359,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Sumter County,28.70869529,-82.19247661,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Palm Beach County,26.67709172,-80.56373053,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Midland County,43.57419001,-84.55437763,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Cass County,42.06225929,-85.90993949,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Cass County,40.72939342,-86.25965362,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Hamilton County,39.94240296,-86.10103966,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Lawrence County,38.87073858,-86.34789005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,McLean County,37.49153121,-87.22032662,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Jessamine County,37.83050346,-84.51931615,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,state,33.03174695,-116.7176058,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Knott County,37.37099172,-82.8503912,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Cuyahoga County,41.28166353,-81.83937601,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Delaware County,40.17734323,-82.81856565,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Greene County,39.78941957,-83.9413805,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Clermont County,39.20877458,-84.23150769,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Allegheny County,40.37731547,-79.86635294,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Upshur County,38.8763551,-80.19443111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Boone County,38.05258266,-81.7519919,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Wythe County,37.06277512,-80.92007066,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Clinton County,41.3405889,-78.01141702,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Lander County,39.59882101,-116.7842291,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Franklin County,39.90665131,-77.895377,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Allegany County,39.55126096,-79.01946377,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Centre County,40.92107394,-77.39607808,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Anne Arundel County,39.07725918,-76.76367486,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Accomack County,37.81184868,-75.60492375,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Kent County,39.04284209,-75.53282965,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Mercer County,40.24746962,-74.6629847,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Madison County,43.01255158,-75.57684419,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Suffolk County,40.80291312,-73.25855327,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Orange County,44.03042544,-72.66603564,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Clark County,36.23284216,-115.0174041,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Grafton County,43.71401219,-71.56225601,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Worcester County,42.31304362,-71.90533052,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Hartford County,41.60246114,-72.75108047,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Kent County,41.66667273,-71.59672773,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Piscataquis County,45.39211237,-69.24794622,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Kootenai County,47.64818073,-116.6294762,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Custer County,44.43004937,-115.2177288,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Bingham County,43.02868119,-112.4327899,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Missoula County,46.82138594,-113.6065082,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Judith Basin County,47.2494843,-110.2231123,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Valley County,47.83744486,-106.8433126,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Lewis County,46.60869095,-121.4945952,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Musselshell County,46.4465773,-108.0131914,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Fremont County,43.04388094,-109.277895,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Johnson County,44.32489043,-106.7112461,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Crook County,44.24892369,-105.0387513,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Albany County,42.22317644,-105.8451005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Sanpete County,39.1005072,-111.9317099,,,,,,,,,,,,,,,,,,,,,,,,,,,,
